Ensembl,HGNC,Entrez,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
ENSG00000131724,IL13RA1,3597.00,1883.00,3442.00,1570.00,1255.00,20210.00,2453.00,1320.00,1746.00,1688.00,2464.00,4471.00,4991.00,2493.00,3787.00,3250.00,3671.00,4970.00,3312.00,3755.00,3563.00
ENSG00000134201,GSTM5,2949.00,15.00,217.00,23.00,3.00,33.00,11.00,7.00,9.00,2.00,1.00,262.00,708.00,251.00,294.00,18155.00,532.00,378.00,902.00,2031.00,1567.00
ENSG00000198668,CALM1,801.00,8515.00,7323.00,11812.00,4659.00,10325.00,6049.00,11831.00,3240.00,7840.00,5582.00,5579.00,10280.00,5285.00,15730.00,10311.00,7091.00,11792.00,8408.00,4899.00,19365.00
ENSG00000117523,BAT2L2,23215.00,7215.00,6794.00,11975.00,8291.00,7474.00,9245.00,12599.00,5899.00,4327.00,18807.00,3388.00,3988.00,5764.00,3733.00,3127.00,5119.00,4536.00,4126.00,2579.00,4253.00
ENSG00000067082,KLF6,1316.00,9648.00,5751.00,3040.00,1236.00,2399.00,3962.00,8439.00,1872.00,3139.00,1869.00,4334.00,9213.00,10491.00,9279.00,8030.00,3749.00,10819.00,13880.00,4154.00,13338.00
ENSG00000173821,RNF213,57674.00,10464.00,12422.00,1303.00,1314.00,7657.00,15981.00,1830.00,3273.00,2275.00,1277.00,3101.00,4583.00,3086.00,3869.00,2870.00,5478.00,3270.00,2465.00,2468.00,4181.00
NA,EEF1A1P9,441032.00,4253.00,3815.00,2703.00,4818.00,3360.00,3515.00,5616.00,18970.00,9962.00,10013.00,9097.00,6168.00,8868.00,6593.00,8309.00,6062.00,6356.00,7528.00,14894.00,6678.00
ENSG00000143819,EPHX1,2052.00,802.00,3340.00,8425.00,9916.00,4450.00,1638.00,1634.00,659.00,339.00,1531.00,3369.00,7990.00,3001.00,10883.00,8837.00,2541.00,6160.00,6661.00,2820.00,14322.00
ENSG00000159388,BTG2,7832.00,880.00,1301.00,3421.00,2013.00,1216.00,1960.00,2239.00,1004.00,926.00,2190.00,3492.00,8037.00,6518.00,8656.00,8575.00,6382.00,8071.00,5073.00,3054.00,16539.00
ENSG00000157514,TSC22D3,1831.00,1308.00,1229.00,1409.00,1273.00,7547.00,799.00,611.00,1007.00,812.00,2898.00,9935.00,9226.00,2381.00,4056.00,8405.00,3117.00,9705.00,10816.00,1733.00,11016.00
ENSG00000118680,MYL12B,103910.00,9212.00,8509.00,18927.00,9096.00,9711.00,16429.00,8176.00,5988.00,11230.00,16783.00,9211.00,5893.00,5352.00,5503.00,6913.00,6398.00,6075.00,7080.00,8413.00,6225.00
ENSG00000104447,TRPS1,7227.00,8452.00,12740.00,13556.00,9644.00,1002.00,10683.00,3014.00,5018.00,8010.00,6173.00,4540.00,655.00,8301.00,949.00,2563.00,8077.00,5677.00,6363.00,3312.00,753.00
ENSG00000138615,CILP,8483.00,2775.00,1952.00,88.00,51.00,5437.00,2170.00,1095.00,932.00,126.00,1327.00,583.00,17072.00,1142.00,3313.00,3739.00,497.00,4404.00,1892.00,269.00,8125.00
ENSG00000182054,IDH2,3418.00,4417.00,10305.00,3444.00,9317.00,6745.00,4473.00,2518.00,9630.00,5176.00,15809.00,2653.00,1091.00,1982.00,1665.00,2562.00,1589.00,1889.00,1074.00,4515.00,907.00
ENSG00000157227,MMP14,4323.00,10144.00,19661.00,3972.00,6445.00,5358.00,10697.00,2181.00,3961.00,6031.00,2362.00,5013.00,6521.00,6126.00,3112.00,5098.00,3643.00,3158.00,3511.00,5327.00,5101.00
ENSG00000170540,ARL6IP1,23204.00,6219.00,13661.00,16926.00,11691.00,8587.00,7920.00,14459.00,9528.00,6529.00,7199.00,3447.00,5525.00,3790.00,5858.00,4779.00,4638.00,6078.00,3990.00,3435.00,4723.00
ENSG00000172809,RPL38,6169.00,2853.00,4520.00,14787.00,6285.00,3120.00,3675.00,14704.00,14735.00,7157.00,12532.00,7838.00,5206.00,6108.00,5410.00,7337.00,4873.00,3881.00,6426.00,8984.00,5748.00
ENSG00000147676,MAL2,114569.00,5827.00,4874.00,2283.00,3392.00,17644.00,3332.00,10829.00,4033.00,5654.00,3594.00,3150.00,500.00,2133.00,1145.00,2087.00,4356.00,5013.00,2155.00,3077.00,1060.00
ENSG00000162896,PIGR,5284.00,4.00,19.00,1338.00,3.00,5.00,875.00,89.00,173.00,7.00,3.00,4331.00,8.00,6365.00,348.00,1683.00,6258.00,2781.00,3516.00,16010.00,311.00
ENSG00000116005,PCYOX1,51449.00,1024.00,1986.00,1048.00,1919.00,2407.00,3075.00,2087.00,2094.00,3094.00,2210.00,3329.00,8914.00,4683.00,15093.00,5107.00,4631.00,7846.00,5895.00,2407.00,12843.00
ENSG00000122729,ACO1,48.00,517.00,868.00,339.00,652.00,1253.00,1037.00,707.00,1029.00,671.00,1116.00,1349.00,7382.00,1663.00,13847.00,4737.00,1465.00,5261.00,2875.00,1053.00,11869.00
ENSG00000115268,RPS15,6209.00,1459.00,2688.00,18137.00,2490.00,473.00,996.00,1692.00,5761.00,3955.00,6506.00,5692.00,2353.00,3994.00,2348.00,5215.00,2904.00,2421.00,2990.00,8195.00,2312.00
ENSG00000143013,LMO4,8543.00,3622.00,4614.00,1208.00,17612.00,546.00,2774.00,7409.00,2529.00,2000.00,396.00,1139.00,1356.00,1885.00,1430.00,1323.00,1386.00,945.00,1119.00,1281.00,1547.00
ENSG00000151892,GFRA1,2674.00,51.00,52.00,106.00,2.00,212.00,72.00,955.00,510.00,491.00,196.00,6842.00,2013.00,5214.00,1455.00,3968.00,3602.00,14757.00,9271.00,951.00,1696.00
ENSG00000006210,CX3CL1,6376.00,1640.00,1084.00,1003.00,2059.00,156.00,2803.00,738.00,6324.00,2364.00,393.00,8371.00,863.00,12360.00,1713.00,6609.00,8042.00,5264.00,6953.00,12086.00,2251.00
ENSG00000157404,KIT,3815.00,787.00,128.00,9647.00,3831.00,127.00,492.00,1193.00,8540.00,1176.00,58.00,3428.00,383.00,14725.00,583.00,1899.00,4610.00,3537.00,3561.00,3843.00,621.00
ENSG00000135535,CD164,8763.00,8178.00,3408.00,5550.00,7432.00,13100.00,11375.00,8240.00,4232.00,4168.00,6783.00,6732.00,10834.00,10152.00,17211.00,11911.00,12213.00,14934.00,12433.00,5852.00,11809.00
ENSG00000092820,EZR,7430.00,10904.00,7931.00,2783.00,4587.00,5107.00,7031.00,14432.00,5721.00,12300.00,11721.00,5423.00,1420.00,4544.00,1193.00,4269.00,3419.00,3984.00,3839.00,7864.00,1176.00
ENSG00000117335,CD46,4179.00,3213.00,2465.00,4307.00,3004.00,20053.00,2719.00,2917.00,3723.00,2206.00,2340.00,6050.00,4738.00,5114.00,6399.00,5791.00,6500.00,6247.00,5693.00,3906.00,6020.00
ENSG00000100979,PLTP,5360.00,980.00,1435.00,1469.00,779.00,643.00,1011.00,268.00,1386.00,1112.00,1449.00,9299.00,16209.00,2138.00,4593.00,7130.00,1656.00,3069.00,2927.00,2573.00,4073.00
ENSG00000243678,NME2,4831.00,6814.00,8751.00,14729.00,10299.00,4964.00,4409.00,9844.00,10304.00,18641.00,7172.00,7400.00,5213.00,5482.00,4338.00,6689.00,3912.00,4350.00,5041.00,9240.00,4736.00
ENSG00000163435,ELF3,1999.00,9396.00,5296.00,3195.00,3149.00,5073.00,3035.00,1032.00,16491.00,6435.00,2397.00,2809.00,96.00,7785.00,248.00,2157.00,4276.00,2123.00,3400.00,5099.00,217.00
ENSG00000135424,ITGA7,3679.00,40.00,56.00,239.00,277.00,59.00,40.00,150.00,209.00,92.00,132.00,936.00,7226.00,1217.00,11841.00,6310.00,1283.00,5051.00,2691.00,753.00,11381.00
ENSG00000019144,PHLDB1,23187.00,1358.00,2674.00,1692.00,1150.00,859.00,1768.00,632.00,1552.00,577.00,541.00,2291.00,8547.00,2708.00,9985.00,7002.00,2339.00,4783.00,3885.00,1855.00,14974.00
